company_name,category_name,status_name,country,state_code,founding_date,funding_type,funded_at,funding_amount
betterfit-technologies,health,operating,USA,MA,2011-11-01,angel,2012-06-01,15000
tendertree,web,operating,USA,CA,,angel,2012-11-14,1300000
fat-spaniel-technologies,cleantech,acquired,USA,CA,2003-01-01,series-a,2006-10-16,7000000
advanced-inquiry-systems-inc,semiconductor,operating,USA,OR,1999-01-01,series-c+,2013-03-11,262500
avnera,semiconductor,operating,USA,OR,2004-01-01,series-c+,2007-09-01,14700000
meebo,web,acquired,USA,CA,2005-02-01,series-c+,2010-12-20,27500000
force10-networks,ecommerce,operating,USA,CA,1999-01-01,series-c+,2005-06-01,45000000
atheronova,biotech,operating,USA,CA,,venture,2013-08-21,270000
plumchoice,consulting,operating,USA,MA,2001-01-01,series-c+,2008-04-29,8000000
cardeas-pharma,biotech,operating,USA,WA,,series-b,2013-05-22,34000000
altavitas,health,operating,USA,CA,2011-01-01,venture,2012-02-02,387996
billeo,ecommerce,operating,USA,CA,2006-01-01,series-b,2007-11-01,7000000
pervasive-health,analytics,operating,USA,IL,2011-01-01,other,2013-06-07,1400000
betaworks,social,operating,USA,NY,2007-01-01,series-a,2008-01-01,7500000
idealists,advertising,operating,USA,CA,,series-a,2013-07-08,1700000
targetcast-networks,advertising,operating,USA,CA,,series-b,2009-09-30,6500000
tonix-pharmaceuticals-holding,biotech,operating,USA,NY,2007-01-01,other,2011-10-20,1625000
fundly,nonprofit,operating,USA,CA,2009-03-01,series-a,2011-02-24,2000000
compstak,real_estate,operating,USA,NY,2011-07-01,series-a,2013-03-29,4450000
blaze-bioscience,biotech,operating,USA,WA,2010-01-01,other,2011-10-17,725000
vee24,ecommerce,operating,USA,NY,,series-a,2013-08-06,5500000
synergy-biomedical,biotech,operating,USA,PA,,venture,2011-09-30,200000
reald,games_video,operating,USA,CA,1980-01-01,series-c+,2008-01-01,20000000
mongodb-inc,enterprise,operating,USA,NY,2007-11-01,series-a,2008-07-21,1500000
babbaco,ecommerce,operating,USA,IL,2007-01-01,series-a,2011-08-01,1200000
malhar,enterprise,operating,USA,CA,2012-01-01,angel,2012-05-29,750000
intelliden,software,acquired,USA,CA,2000-01-01,venture,2006-01-01,59000000
bolster,web,operating,USA,NY,2012-01-03,angel,2012-01-03,750000
mogl,hospitality,operating,USA,CA,2010-01-01,venture,2013-09-11,1100000
carogen,biotech,operating,USA,CT,,angel,2013-09-09,150000
netsertive,advertising,operating,USA,NC,2009-01-01,series-b,2012-08-14,7300000
life360,mobile,operating,USA,CA,2008-01-01,angel,2009-05-28,50000
skyword,search,operating,USA,MA,2010-12-20,private-equity,2013-05-17,6700000
snapin-software,software,acquired,USA,WA,2003-01-01,series-c+,2006-02-07,19300000
dispersol-technologies,biotech,operating,USA,TX,2007-01-01,venture,2012-01-24,641693
sahale-snacks,ecommerce,operating,USA,WA,2003-01-01,venture,2011-12-27,5749536
lux-biosciences,biotech,operating,USA,NJ,2005-01-01,other,2012-12-12,4000000
cognition-therapeutics,biotech,operating,USA,PA,,other,2013-01-03,1921749
clearpath-immigration,other,operating,USA,NY,,series-b,2011-01-07,1063440
publicstuff,web,operating,USA,NY,,venture,2012-10-09,5000000
kirusa,public_relations,operating,USA,NJ,2001-01-01,series-c+,2007-07-18,13300000
appstores-com,software,acquired,USA,CA,2010-05-24,angel,2010-08-01,590000
bitzio,mobile,operating,USA,CA,,other,2011-12-02,180000
spanfeller-media-group,advertising,operating,USA,NY,2010-01-01,series-a,2010-06-29,2000000
lexicon-pharmaceuticals,biotech,ipo,USA,TX,1995-01-01,private-equity,2012-08-08,35000000
gina-alexander,fashion,operating,USA,CA,1999-01-01,other,2012-06-18,30000
univa,software,operating,USA,IL,2010-01-01,venture,2012-02-02,10385708
imbera-electronics,semiconductor,operating,USA,FL,,series-b,2009-04-13,15000000
appiterate-com,software,operating,USA,CA,,angel,2013-07-01,400000
rimage,other,ipo,USA,MN,1987-01-01,private-equity,2011-10-25,13185000
mixx,web,acquired,USA,VA,2007-05-01,series-b,2008-02-01,2000000
guardian-8-holdings,security,operating,USA,AZ,,venture,2012-09-14,65000
digital-railroad,web,closed,USA,NY,,series-b,2007-02-05,10000000
sagequest,mobile,operating,USA,OH,2003-01-01,series-c+,2006-01-06,4000000
revolutionmoney,web,acquired,USA,FL,,series-b,2007-09-01,50000000
nanoviricides,biotech,ipo,USA,CT,2005-01-01,other,2013-02-06,6000000
intellocorp,enterprise,operating,USA,FL,2011-06-10,angel,2012-05-01,300000
enthuse,sports,operating,USA,CA,2011-01-01,angel,2012-08-01,600000
oversight-systems,software,operating,USA,GA,2003-01-01,series-b,2008-07-02,10200000
clickability,enterprise,acquired,USA,CA,1999-01-01,series-c+,2008-02-04,8000000
datapipe,network_hosting,operating,USA,NJ,1998-01-01,private-equity,2013-05-31,236358426
the-honest-company,ecommerce,operating,USA,CA,2011-01-01,series-b,2011-09-27,6000000
one-kings-lane,ecommerce,operating,USA,CA,2009-01-01,series-c+,2011-09-18,40000000
american-addiction-centers,biotech,ipo,USA,TN,,venture,2013-03-29,6488000
flock,web,acquired,USA,CA,2005-01-01,series-c+,2008-05-21,15000000
tangler,web,operating,USA,CA,2006-02-01,series-a,2006-07-01,1500000
ohmygov-inc,software,operating,USA,VA,2009-07-01,angel,2011-10-25,50000
jawbone,hardware,operating,USA,CA,1999-01-01,other,2013-09-12,93000000
contour-semiconductor,semiconductor,operating,USA,MA,,venture,2009-12-02,7999988
foodily,hospitality,operating,USA,CA,2010-01-01,venture,2010-06-25,5000000
elastra,software,operating,USA,CA,2007-01-01,series-a,2007-08-15,2600000
diagnotes,biotech,operating,USA,IN,2010-01-01,venture,2013-03-04,451750
spiral-genetics,enterprise,operating,USA,WA,,other,2012-08-10,90000
gen9,biotech,operating,USA,MA,2009-01-01,private-equity,2013-04-24,21000000
nxt-id,mobile,operating,USA,CT,,venture,2013-02-04,150000
ordr-in,hospitality,operating,USA,NY,2010-01-01,angel,2011-10-18,750000
freeosk-inc,advertising,operating,USA,IL,2010-01-01,series-a,2013-08-05,6000000
k12-enterprises,software,operating,USA,MD,2009-01-01,venture,2009-12-28,3000000
linkedfa,social,operating,USA,FL,,venture,2011-03-22,3000000
olo,ecommerce,operating,USA,NY,2005-01-01,series-a,2008-01-01,7000000
barspace,messaging,operating,USA,CA,2010-01-01,angel,2010-12-01,280000
crowdzu,web,operating,USA,NY,2012-01-01,angel,2012-04-06,30000
reclip-it,advertising,operating,USA,CA,,angel,2012-06-01,70000
innroad-inc,software,operating,USA,NY,,venture,2012-01-11,549999
delaget,software,operating,USA,MN,1990-01-01,angel,2011-12-01,400000
ourstage,music,operating,USA,MA,2006-10-01,venture,2012-01-17,650000
bungee-labs,software,operating,USA,UT,2002-01-01,series-b,2006-11-21,7100000
angstro,software,acquired,USA,CA,2007-04-27,angel,2007-05-01,225000
solix-biofuels,cleantech,operating,USA,CO,2009-01-01,series-a,2008-11-12,10500000
ongo,news,operating,USA,CA,,venture,2010-09-29,12000000
meetingsense-software,software,operating,USA,CA,2004-01-01,series-a,2007-07-29,3000000
fitnesskeeper,health,operating,USA,MA,2008-01-01,angel,2009-11-30,400000
genietown,search,closed,USA,CA,2006-10-01,series-a,2007-10-01,2000000
bypass-lane,mobile,operating,USA,TX,2010-07-07,venture,2013-04-10,3500000
digital-domain-media-group,design,closed,USA,FL,,private-equity,2012-06-22,10500000
2u,education,operating,USA,MD,2008-01-01,series-b,2010-02-05,20000000
intervalzero,software,operating,USA,MA,,venture,2005-02-08,10000000
gather,news,operating,USA,MA,2005-01-01,series-c+,2006-11-01,10000000
advebs,software,operating,USA,CA,,angel,2008-12-05,980000
serveron,hardware,operating,USA,OR,2001-01-01,series-c+,2006-01-30,3000000
assia,software,operating,USA,CA,2003-01-01,venture,2009-11-02,10000000
encore-career-institute,education,operating,USA,CA,2011-06-01,series-a,2011-06-23,15000000
behind-the-burner,web,operating,USA,NY,2008-01-01,angel,2008-01-01,500000
padcom,mobile,acquired,USA,PA,1989-01-01,venture,2005-03-01,10000000
airborne-media-group,hardware,operating,USA,CO,2011-03-07,series-a,2012-09-01,2450000
atari,games_video,operating,USA,NY,1972-01-01,venture,2005-09-15,7260000
reflectance-medical,medical,operating,USA,MA,,other,2011-05-25,500000
astute-networks,enterprise,operating,USA,CA,2000-01-01,series-b,2012-06-17,12000000
commonbond,finance,operating,USA,NY,2011-11-01,private-equity,2013-09-04,100000000
mediabank,software,operating,USA,IL,2006-01-01,venture,2007-07-23,10500000
jacked,advertising,acquired,USA,CA,2006-06-01,series-a,2007-04-01,6000000
sincerely,social,operating,USA,CA,2011-01-01,series-a,2011-10-26,3000000
gevo,cleantech,ipo,USA,CO,,series-c+,2008-05-13,17000000
access-intelligence,news,operating,USA,MD,,venture,2009-07-01,2890000
new-body-md,health,operating,USA,CA,2011-01-01,angel,2011-09-14,200000
nexgrid,enterprise,operating,USA,VA,2008-01-01,angel,2013-02-25,290000
bebo,web,acquired,USA,CA,2005-01-06,series-a,2006-05-01,15000000
newsvine,web,acquired,USA,WA,2005-03-31,series-a,2005-07-01,1250000
achieve-financial-services,finance,operating,USA,TX,,series-b,2012-03-20,12500000
tabula,semiconductor,operating,USA,CA,2003-01-01,series-c+,2011-03-28,108000000
marginize,web,operating,USA,MA,,series-a,2011-11-22,1300000
crocus-technology,cleantech,operating,USA,CA,2004-01-01,series-a,2006-06-14,16960050
cooliris,web,operating,USA,CA,2006-01-01,series-b,2009-04-13,15500000
baynote,software,operating,USA,CA,2004-11-01,series-c+,2011-01-12,13000000
energyclimate-solutions,cleantech,operating,USA,MA,2009-01-01,venture,2010-01-05,2000000
regear-life-sciences,hardware,operating,USA,PA,2006-01-01,venture,2012-03-23,850000
appcentral-inc,enterprise,acquired,USA,CA,2007-01-01,series-a,2010-09-20,4000000
synergene-therapeutics,biotech,operating,USA,MD,1998-01-01,venture,2011-09-14,1570000
dollar-shave-club,ecommerce,operating,USA,CA,,series-a,2012-11-01,9800000
achievers,software,operating,USA,CA,1995-01-01,series-c+,2011-09-28,24500000
varvee,sports,operating,USA,CO,2009-01-01,venture,2008-01-15,375000
imagekind,web,acquired,USA,NC,2006-09-01,series-a,2007-02-26,2600000
infolinks,advertising,operating,USA,CA,2007-01-01,series-b,2009-02-01,1000000
setpoint-medical,biotech,operating,USA,CA,,series-a,2013-08-08,30607151
isocket,advertising,operating,USA,CA,2009-08-01,series-a,2009-08-27,2104119
simplivt,software,operating,USA,MA,2008-01-01,series-b,2010-09-13,9200000
drip-drop,medical,operating,USA,CA,2008-01-01,series-a,2013-07-29,700000
accertify,security,acquired,USA,IL,2007-03-01,series-a,2008-06-03,4000000
school-innovations-achievement,education,operating,USA,CA,2003-02-01,other,2013-07-15,5000000
datahero,analytics,operating,USA,CA,2011-10-01,venture,2012-05-31,1000000
synta-pharmaceuticals,biotech,ipo,USA,MA,2000-01-01,venture,2010-01-19,3750000
kitcheck,enterprise,operating,USA,DC,,private-equity,2013-06-28,10370400
rubiconproject,advertising,operating,USA,CA,2007-05-01,other,2007-10-01,1000000
crocus-technology,cleantech,operating,USA,CA,2004-01-01,series-c+,2013-07-10,43744400
snooth,web,operating,USA,NY,2006-01-01,angel,2007-11-01,1000000
miles-electric-vehicles,automotive,operating,USA,CA,2004-01-01,venture,2009-12-28,1000000
medcenterdisplay,hardware,operating,USA,TN,,series-a,2012-07-03,7508875
bluecava,advertising,operating,USA,CA,2010-01-01,other,2011-07-08,1500000
aquamost,cleantech,operating,USA,WI,2006-01-01,other,2012-11-27,620500
scale-computing,enterprise,operating,USA,IN,2006-01-01,series-c+,2012-10-24,12000000
incelldx,biotech,operating,USA,CA,,venture,2012-05-14,5999998
livefyre,enterprise,operating,USA,CA,2009-12-01,series-b,2011-10-17,4500000
music-mastermind,music,operating,USA,CA,2008-01-01,series-a,2010-02-24,4850000
genomatica,cleantech,operating,USA,CA,,venture,2011-03-01,45000000
divorce360,web,operating,USA,FL,2007-05-01,series-a,2007-09-01,2500000
favery,software,operating,USA,CA,,other,2013-02-06,415000
new-century-hospice,biotech,operating,USA,TX,2006-01-01,angel,2011-10-04,1296337
nurep-inc,mobile,operating,USA,CA,2012-07-01,angel,2013-01-14,25000
concordia-coffee-systems,manufacturing,operating,USA,WA,1990-01-01,series-a,2012-02-06,6500000
endosphere,medical,closed,USA,OH,,venture,2012-04-26,3148584
broadlight,software,acquired,USA,CA,2000-06-01,other,2007-03-01,5000000
albeo-technologies,cleantech,acquired,USA,CO,,series-a,2008-12-16,1000000
blackaeon-international,other,operating,USA,NY,,other,2010-01-01,150000
telecommunication-systems,mobile,ipo,USA,MD,,venture,2009-10-01,11700000
proa-medical,biotech,operating,USA,CA,2010-01-01,angel,2012-12-06,169995
easypost,ecommerce,operating,USA,CA,2012-09-01,angel,2013-06-06,850000
crestatech,software,operating,USA,CA,2005-11-30,venture,2012-04-30,13000000
code-for-america,nonprofit,operating,USA,CA,2009-09-01,other,2011-12-14,1500000
storm-exchange,enterprise,operating,USA,NY,2006-04-01,venture,2008-03-04,7200000
cardax-pharma,biotech,operating,USA,HI,2006-01-01,other,2013-06-17,781170
credant-technologies,security,acquired,USA,TX,2001-01-01,series-c+,2007-12-20,5000000
liquipel,mobile,operating,USA,CA,,series-a,2012-07-13,10000000
terrafugia,transportation,operating,USA,MA,2006-05-01,venture,2010-12-26,960000
pos-on-cloud,enterprise,operating,USA,KY,2012-05-24,angel,2012-05-01,100000
analogix-semiconductor,semiconductor,operating,USA,CA,2002-03-01,series-b,2009-08-17,10000000
third-age,health,operating,USA,CA,1996-01-01,venture,2009-09-15,1000000
godtube,games_video,operating,USA,TX,2007-01-01,series-b,2008-05-04,30000000
affirmed-networks,mobile,operating,USA,MA,2010-01-01,series-c+,2013-06-05,51000000
gift-cardlab,ecommerce,operating,USA,TX,2005-06-01,series-a,2006-06-01,2500000
cybercity-3d,software,operating,USA,CA,2008-01-01,series-a,2008-10-13,4300000
swipely,finance,operating,USA,RI,2009-10-01,angel,2009-11-16,875000
odesk,web,operating,USA,CA,2005-01-01,series-b,2006-09-01,8000000
networked-insights,analytics,operating,USA,NY,2006-01-01,series-a,2007-11-07,4000000
evoapp,analytics,closed,USA,NC,2009-01-01,angel,2011-11-16,587189
engrade,education,operating,USA,CA,2003-01-01,series-a,2012-05-02,3000000
blue-lane-technologies,public_relations,acquired,USA,CA,2002-01-01,series-b,2005-02-01,13400000
blu-homes,real_estate,operating,USA,MA,2008-01-01,series-a,2012-09-12,60000000
electron-database,software,operating,USA,OH,,venture,2010-06-10,500000
bridgevine,ecommerce,operating,USA,FL,2003-01-01,series-a,2005-12-01,3250000
safepath-medical,biotech,operating,USA,MA,2010-01-01,venture,2012-07-31,60000
ebureau,analytics,operating,USA,MN,2004-01-01,series-b,2007-08-01,12000000
scrollmotion,software,operating,USA,NY,2008-01-01,series-a,2010-10-29,7200000
appcitylife,mobile,operating,USA,NM,2009-11-30,angel,2013-06-20,431162
healthyme-mobile-solutions,health,operating,USA,MO,2012-11-05,angel,2013-09-01,50000
filter-sensing-technologies,cleantech,operating,USA,MA,,venture,2011-09-27,2000000
socialguide,social,acquired,USA,NY,2010-01-01,series-a,2011-04-07,1500000
apex-learning,education,operating,USA,WA,1997-01-01,other,2013-05-31,3000000
agency-entourage,public_relations,operating,USA,TX,2009-05-01,angel,2009-01-01,10000
progreso-financiero,finance,operating,USA,CA,2005-06-01,other,2011-10-26,30000000
nasuni,enterprise,operating,USA,MA,2009-04-01,series-c+,2012-10-30,20000000
doubledutch,mobile,operating,USA,CA,2011-01-01,series-b,2012-11-12,4000000
neomend,biotech,acquired,USA,CA,1999-01-01,series-c+,2010-01-27,30000000
skybox-security,security,operating,USA,CA,2002-01-01,series-c+,2009-12-28,2000000
lendpro,software,operating,USA,VA,,venture,2013-09-17,50000
jelli,enterprise,operating,USA,CA,2008-09-15,series-a,2010-05-13,5000000
mpower-mobile,mobile,closed,USA,TX,2005-01-01,venture,2009-10-28,5000000
montage-talent,enterprise,operating,USA,WI,2007-01-01,venture,2011-12-14,3000000
stonewedge,software,operating,USA,MA,,series-c+,2011-12-12,500000
gotuitmedia,web,acquired,USA,MA,2000-01-01,series-a,2002-12-01,6000000
persystent-technology,software,operating,USA,FL,2002-01-01,series-b,2005-08-08,7000000
internmatch,web,operating,USA,CA,2009-06-01,series-a,2012-08-21,1553503
posterous,web,acquired,USA,CA,2008-05-01,series-a,2010-03-05,4400000
citizengroove,enterprise,operating,USA,OH,2010-07-01,other,2009-03-31,100000
seattle-biomedical-research-institute,biotech,operating,USA,WA,1976-01-01,other,2013-08-15,16000000
interleukin-genetics,health,ipo,USA,MA,1999-01-01,venture,2012-07-02,3000000
pocket-communications-northeast,mobile,operating,USA,CT,2006-01-01,series-b,2009-02-20,25000000
domo,software,operating,USA,UT,2011-07-13,series-b,2013-03-11,60000000
united-orthopedic-group,biotech,operating,USA,TX,,venture,2013-05-30,2105265
sirtris-pharmaceuticals,biotech,acquired,USA,MA,2004-01-01,series-b,2005-03-08,27000000
bluecava,advertising,operating,USA,CA,2010-01-01,series-a,2013-02-25,1875000
scalix,software,operating,USA,NY,,series-b,2006-01-10,6000000
svpply,web,acquired,USA,NY,2009-10-01,angel,2010-11-22,550000
oberon-media,games_video,operating,USA,NY,2003-01-01,series-b,2008-10-06,20000000
inkling-inc,mobile,operating,USA,CA,2009-08-01,series-c+,2013-07-17,16000000
crowdmed,health,operating,USA,CA,2012-10-01,angel,2013-04-16,1100000
capton,hospitality,operating,USA,CA,2003-01-01,venture,2006-08-08,5000000
chute,photo_video,operating,USA,CA,2011-07-01,angel,2012-06-07,20000
optimum-energy,cleantech,operating,USA,WA,2005-01-01,venture,2013-06-07,12200000
ngage-labs,software,operating,USA,AZ,2011-01-01,series-b,2013-07-23,6900000
autovirt,software,closed,USA,NH,2007-01-01,series-b,2008-11-18,4000000
stion-corporation,cleantech,operating,USA,CA,2006-01-01,venture,2011-12-20,130000000
spidercloud-wireless,enterprise,operating,USA,CA,2007-01-01,series-b,2010-02-01,24999998
outspark,games_video,operating,USA,CA,2007-01-01,series-b,2008-01-01,11000000
irhythm,biotech,operating,USA,CA,2006-01-01,venture,2007-02-08,12000000
hoana-medical,hardware,operating,USA,HI,2000-01-01,angel,2012-01-04,645000
sensory-medical,biotech,operating,USA,CA,2008-01-01,angel,2013-06-11,750000
securisyn-medical,biotech,operating,USA,CO,2011-01-01,venture,2012-10-11,50000
aperto-networks,mobile,acquired,USA,CA,1999-01-01,series-b,2000-10-03,26000000
adeze,advertising,operating,USA,CA,2005-01-01,series-c+,2008-04-10,2500000
lendamend,finance,operating,USA,CA,,series-a,2011-06-28,750000
celergo,enterprise,operating,USA,IL,,venture,2011-03-16,15000000
adesto-technologies,semiconductor,operating,USA,CA,2006-01-01,venture,2010-06-29,3500000
appdynamics,software,operating,USA,CA,2008-01-01,series-b,2010-05-03,11000000
snagajob-com,consulting,operating,USA,VA,1999-01-01,series-a,2006-07-26,9000000
little-bird-inc,software,operating,USA,OR,2011-01-01,venture,2012-07-19,836940
social-market-analytics,social,operating,USA,IL,2012-01-01,venture,2013-09-19,110000
mavenir-systems,enterprise,operating,USA,TX,2005-01-01,series-c+,2008-12-17,17500000
bitly,web,operating,USA,NY,2008-01-01,venture,2012-07-10,15000000
resolutiontube,mobile,operating,USA,CA,,angel,2013-08-05,118000
gamechanger-media,software,operating,USA,NY,2009-01-01,venture,2010-03-29,200000
searchtophone,mobile,closed,USA,CO,,angel,2007-08-01,15000
innovital-systems,software,operating,USA,MD,,venture,2013-07-11,25000
field-agent,mobile,operating,USA,AR,2010-04-17,series-a,2013-03-08,2500000
estech,medical,operating,USA,CA,1996-01-01,series-c+,2010-12-07,8500000
sequitur-labs,biotech,closed,USA,WA,,venture,2012-07-20,215700
nexdefense,security,operating,USA,CA,2012-01-01,other,2012-12-14,125000
continuity-engine,software,operating,USA,CT,2008-01-01,series-a,2009-08-05,1900000
bitly,web,operating,USA,NY,2008-01-01,other,2010-02-18,1500000
solarone-solutions,cleantech,operating,USA,MA,,series-a,2008-04-04,1500000
quixey,search,operating,USA,CA,2009-11-01,series-a,2011-08-29,3800000
naturebridge,education,operating,USA,CA,,other,2011-01-04,4000000
miragen-therapeutics,biotech,operating,USA,CO,2007-01-01,series-a,2012-01-03,6000000
english-helper,education,operating,USA,MA,2009-01-01,venture,2012-03-01,550000
service-now-com,enterprise,operating,USA,CA,2004-01-01,private-equity,2012-03-20,10980000
roam-data,mobile,operating,USA,MA,2005-01-01,series-b,2009-11-23,6500000
nantero,nanotech,operating,USA,MA,2000-01-01,series-b,2003-09-01,10500000
responsys,software,ipo,USA,CA,1998-01-01,venture,2003-04-02,9400000
pathbrite,education,operating,USA,CA,,series-a,2011-12-01,1500000
blue-river-technology,hardware,operating,USA,CA,,series-a,2012-11-13,3344839
pbworks,enterprise,operating,USA,CA,2005-06-01,series-a,2006-09-11,350000
insightpool,software,operating,USA,GA,2011-08-01,angel,2013-02-06,250000
imricor-medical-systems,biotech,operating,USA,MN,2006-01-01,venture,2011-09-16,51000
metricstream,software,operating,USA,CA,1999-01-01,venture,2013-07-12,48000000
green-dot-corporation,other,ipo,USA,CA,1999-01-01,series-b,2006-12-01,20000000
valant-medical-solutions,software,operating,USA,WA,2005-01-01,series-a,2012-06-28,1828324
paymetric,security,operating,USA,GA,1998-01-01,series-a,2005-01-26,7000000
